Awarding Department,Scholarship Intent,Criteria,Major,Class Level,Enrollment Status,Enrollment Requirement,Financial Need as determined by the FAFSA and/or CA Dream App,Citizenship,GPA,Contact Person,Campus Address,Street Address,Phone Number,Email,Web page,Number of Awards,Award,Scopes,Deadline,Supplemental Questions
 School of Nursing," Open to any undergraduate or graduate student majoring in PLSI. Up to five small scholarships (up to $400 per applicant) will be awarded based on merit and/or financial need to help students cover a variety of education-related costs including books, test prep, workshop fees, academic applications, and academic conference/tournament registration.", N/A, Single:  Political Science," Undergrad:  2nd Year of Higher, Credential; Grad:  Masters/MFA, PhD", New or Continuing, Undergrad:  FULL-TIME; Grad:  FULL-TIME, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, Political Science Dept., BUS 345," 1600 Holloway Avenue, San Francisco, California 94132", (415) 405-4149, hpw@sfsu.edu, http: alumni.sfsu.edu, varies,"$1,000.00",Biology,02/07/2022,"Are you enrolled at least half time? (Undergrad 6 units) (Grad 3 units) If not, you are not eligible for this scholarship. Please upload ONE poem for review."
 College of Ethnic Studies, To provide financial support to current SFSU students. This scholarship is meant for accelerated entry level master nursing students who have a demonstrated need and ability to articulate goals., Minimum enrollment of 6 units in award semester., Single:  Nursing, Undergrad:  Any; Grad:  Any, Continuing, Undergrad:  12 UNITS; Grad:  8 UNITS, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, School of Nursing, BH 502B," 1600 Holloway, San Francisco, California 94132", (415) 338-1031, plsi@sfsu.edu, https: //creativewriting.sfsu.edu/department-resources, varies,varies,College of Business,06/15/2023,"Please upload your resume or CV Please upload your SF State unofficial transcript Short Essay: In 500 words or less, please describe a brief biographical background, your career goal in accounting, how you meet the qualifications and why you should receive this award and demonstrate your financial need."
 College of Ethnic Studies," To provide financial need and merit based support to undergraduate and graduate students in the College of Ethnic Studies. Donor intents are various.
One category of awardees will be supported by donations from the Metta Fund, which serves students working on health-related issues within the College of Ethnic Studies.","
1) This scholarship is available only to doctoral students enrolled full time in SF States’ EdD in Educational Leadership program.
2) Applications will be evaluated on the basis of three criteria: 
– Significance of the work on a current policy or program.
– Expected or accomplished impacts on equity and social justice reforms.
– Clarity of achieved project.", Any major or minor in a department in the College of Ethnic Studies, Undergrad:  N/A; Grad:  Accelerated Entry Level Masters/2nd BA, Any, Undergrad:  6 Units, Not a Requirement, US Citizen/Perm Res, HS GPA:  N/A; Undergrad:  N/A; Grad GPA:  N/A, College of Ethnic Studies, HUM 536," 1600 Holloway, San Francisco, California 94132", (415) 338-2217, nursing@sfsu.edu, http: //biology.sfsu.edu, 1,"$1,000",Graduate College of Education,04/01/2024,"Could you upload a coherent personal narrative which addresses the above stated scholarship intent and criteria? This narrative should also relate the applicant's background and specific interests in gerontology, and how the scholarship will be helpful with your career goals and aspirations. You have up to 500 words on two typed, double-spaced pages for this narrative. Please provide a copy of your most recent transcript. If you are a first semester student, please include your transcript from your previous college. Unofficial transcripts are acceptable."
 The Poetry Center, The purpose of the Critical Mixed Race Studies Scholarship Fund is to support the Richard and Mildred Loving Scholarship Award and the Maria P. P. Root Scholarship Award in Critical Mixed Race Studies at SF State.," Applicants must: 
1) have completed 60 units at the time of selection;
2) be available to intern 16 hours/week for 15 weeks;
3) enroll in internship seminar that meets once/week for 10 weeks;
4) complete application including 1 essay, contact information for 2 references (at least one from SF State faculty or advisor; if first-semester transfer student, provide the contact information for a faculty member or instructor from another institution you attended in lieu of SF State Faculty), and unofficial transcript;
5) have faced hardships in pursuing a college degree.
6) enroll in classes full time during the spring 2025 semester", Single:  Critical Mixed Race Studies (minor), Undergrad:  Any; Grad:  Any, Continuing SF State Students, Undergrad:  3 UNITS; Grad:  3 UNITS, Not a requirement, Any, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  3.0, College of Ethnic Studies, ADM 153," 1600 Holloway Ave., San Francisco, California 94132", (415) 338-2217, mainhung@sfsu.edu, N/A, varies,up to $400,Kinesiology,05/31/2021,"Educational record--of your current school Date graduated (or expected graduation date) Degree earned (or to be earned) GPA School Educational record-Last school attended or graduated Dates attended Degree earned GPA School Educational record Dates attended Degree earned GPA School Please upload your Application as a single PDF. It should contain the following: a) A synopsis of the proposed project or activity in which you discuss the pertinent literature and the theoretical foundations of your work and then outline your research plan/methodology (500 words or less); b) A description of your project outcomes. This is a statement of 200 words or less detailing how your project's expected outcomes will affect you, the department, and the discipline; c) an itemized budget and Timeline for completion of your proposed project."
 Lam Family College of Business," The award is for an original, outstanding, work of poetry, (hybrid work welcome) that in its artistry, expresses a social conscience.", Superior musical achievement., Any," Undergrad Freshman, Sophomore, Junior, Senior", Any, Undergrad:  N/A; Grad:  4 UNITS, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  3.25 Cumulative, The Poetry Center, ADM 153," 1600 Holloway, San Francisco, California 94132", (415) 405-3744, ktrion@sfsu.edu, kin.sfsu.edu/scholarships, varies,"$1,900.00",Guardian Scholars Program,04/07/2024,"What semester will you be graduating? Please upload a single PDF that includes the following, labeled and in order: 1. A statement about the work submitted in no more than 300 words. 2. Digital Portfolio: 5-10 images of your artwork, and/or web links to audio/video. Images should be labeled with the work’s title, date, media, size, and other significant information. 3. Supporting Documentation: 1 additional page of written material to support your application, e.g. artist statement, resume, exhibition list. Permission to Display Images: In view of your rights under U.S. Copyright laws, please review the following approval for internal and external use of images: By marking the checkbox below, you certify that you have granted San Francisco State University the Art Department and the funders and sponsors of these scholarships and fellowships permission to use your scholarship images on a royalty-free basis; to post the images on our and their web sites, publication and materials, both print and electronic, and to be made available for their other non-commercial uses, but others may not reproduce the images without permission of the owner."
 Political Science, The purpose of this scholarship is to provide recognition to promising SF State Lam Family College of Business graduate students., Classified in Education Specialist Credential or Special Education graduate program," Multiple:  Master of Business Administration, Master of Science in Accountancy, Executive Master of Business Administration, Master of Science in Business Analytics"," Undergrad:  Freshman,Sophomore,Junior,Senior; Grad:  Masters, Credential", Continuing SF State Student, Undergrad:  N/A; Grad:  1 UNIT, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  3.0, Chris Kingston, HSS 307," 1600 Holloway, San Francisco, California 94132", (415) 338-1891, poetry@sfsu.edu, http: //www.sfsu.edu/~eop/gsp/, varies,varies,College of Liberal & Creative Arts,04/07/2024,"Submit a one page essay that describes your a) professional goals, b) reasons for applying for this scholarship, and c) your financial need. Upload a PDF of an unofficial current copy of your academic transcript."
 School of Theatre & Dance, The Fellowship will be awarded to an outstanding graduate student in the Political Science Dept who is interested in and committed to improving governance and the polity of CA.,"
1) Be a Young SKAL member.
2) Be a California resident.
3) Submit a copy of U.S. Passport or birth certificate or copy of Green Card
4) Submit resume, evaluation form and letter of recommendation from a faculty member in your field of study (other than Dr. Ergul)
5) Submit evaluation form and letter of recommendation from an industry professional you have worked for (if applicable). Industry must be related to your field of study.
6) Submit official transcript.
7) Submit an original two page essay (see essay questions below).", Single:  Political Science," HS Seniors, Undergrad:  N/A; Grad:  Masters", Any, Undergrad:  HALF-TIME; Grad:  HALF-TIME, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, Political Science Dept., HUM 573," 1600 Holloway Ave., San Francisco, California 94132", (415) 405-3591, cak@sfsu.edu, http: //internationalrelations.sfsu.edu/, varies,$1000,Graduate College of Education,04/03/2020,Have you taken at least 2 semesters of Hebrew language at San Francisco State University? Please indicate your major.
 English Language and Literature, Provides financial assistance to Theatre Arts students who desire to enter upon a dramatic career in legitimate theatre., N/A," Single:  Theatre Arts, Drama"," Undergrad:  N/A, Grad:  Masters", Any, Undergrad:  N/A; Grad:  6 UNITS, Not a Requirement, Any," Undergrad GPA:  3.0, Grad GPA:  3.0."," School of Theatre and Dance, Victoria Giari", HH 534," 1600 Holloway, San Francisco, California 94132", (415)338-2389, plsi@sfsu.edu," <“https: //gcoe.sfsu.edu/current-students/scholarships” target=""_blank"">https: //gcoe.sfsu.edu/current-students/scholarships", varies,$500,Counseling,11/15/2021,Submit a statement of purpose (no more than one page) describing your interest in studying Eastern and/ or Western philosophy. The statement should also include any additional information that you think would be useful in evaluating your application.
 Graduate College of Education, To provide financial support for graduate students interested in the study of Shakespeare and/or literature of the Renaissance.,"
1) Must demonstrate academic excellence in French courses.
2) Must have a desire to pursue a career using their French degree.
3) Financial need."," Single:  English,"," Undergrad:  Sophomore, Junior, Senior; Grad:  Masters, MFA", Continuing, Undergrad:  N/A; Grad:  8 UNITS, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  3.3; Grad GPA:  3.3, English Department, Burk Hall 244," 1600 Holloway, San Francisco, California 94132-4011", (415) 338-2244, vgiari@sfsu.edu, http: //gcoe.sfsu.edu/current-students/scholarships, 3,$750.00,Graduate College of Education,11/01/2022,"In 500 words or less, please tell us about yourself, your financial need, and how you plan to use your major to achieve your career goals. In 500 words or less, please answer the following prompt: Imagine you are mentoring a group of low income, first generation, under-represented high school students. What advice would you give these students on how to achieve their career goals. Upload a copy of your resume. In addition to your employment and volunteer history, please also include any awards/distinctions you have earned and any organizations/clubs/programs you are involved with. Please upload a copy of your latest transcripts. Unofficial transcripts are acceptable. Depending on your grade level, these can be from high school, community college, 4-year college/university, or graduate school."
 School of PACE, The intent of this scholarship is to provide support for emerging and innovative scholar-practitioners focused on social justice.,"
1) Students must demonstrate financial need through a written statement that should also include educational or life goals (maximum one page). Preference will be given to students approved by the university for financial assistance, but financial aid is not required.
2) Students must have at least one semester remaining before graduation from SF State.", Single:  EdD in Educational Leadership," Undergrad:  N/A, Grad:  Masters", Continuing, Undergrad:  12 UNITS; Grad:  N/A, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, Ty Robinson, GYM 101," 1600 Holloway Ave., San Francisco, California 94132", (415)405-0546, english@sfsu.edu,https: //creativewriting.sfsu.edu/department-resources, 1,Varies,Public Affairs and Civic Engagement (PACE),04/08/2024,"This scholarship is for students that will be seniors at the time of the award in the fall semester. In order to be eligible, you must be enrolled as either an incoming or continuing senior at the time of the award in the fall semester. Do you have at least one semester before obtaining your undergraduate degree, and will you be an incoming or continuing senior enrolled in classes in the upcoming fall semester? Do you have at least one semester left prior to graduation? Will you be an incoming or continuing senior in the fall semester? Personal Statement: Awardees of this scholarship should demonstrate a personal drive to overcome obstacles as well as a community-oriented focus and a commitment to others. Within this context, please provide a personal statement describing your academic and career goals. Your statement should answer the following questions: What are your reasons for applying for this scholarship? How do you intend to use your degree upon graduation? To what extent does your field of study benefit you and/or the larger community? See https://financialaid.sfsu.edu/scholarship-and-essay-tips. (200-word minimum and 500-word maximum) Financial Need Statement: Please provide a brief statement of financial need detailing how receiving this scholarship will assist you and enable you to achieve your academic and career goals, e.g., content such as parent’s education and occupations, disability or illness in the family, extenuating circumstances, single parent household, other siblings in college, cost of college tuition compared to how you will finance your education that describes your financial status. If you are currently working to support your education or are a participant in EOP, Guardian Scholars or related campus programs, please include this in your response. (100-word minimum and 200-word maximum) Please provide the name and e-mail of an individual who can provide a reference on your behalf. Your reference provider should be familiar with you and able to speak to your personal, professional and/or academic achievements. Faculty, colleagues, or mentors are highly recommended. Please be sure to communicate to the individual that you are listing them as a reference provider and give them context on the scholarship for which you are applying so they can tailor their reference. See https://financialaid.sfsu.edu/letters-recommendation for tips and guidelines on asking for letters of recommendation. If your reference provider cannot upload their reference letter to your application on the Award Management/Academic Works system directly before the online deadline, your scholarship application that’s missing a reference letter can’t be evaluated."
 School of Music, The Willie L. Brown Jr. Fellowship provides SF State students with an opportunity to gain professional experience in the public sector while developing a life-long commitment to public service., This scholarship is intended to assist students from SFSU’s partner institutions/organizations in Japan who desire to enroll at San Francisco State University in an undergraduate or graduate degree program.,:  Any, Undergrad:  N/A; Grad:  EdD, Any, Undergrad:  FULL-TIME; Grad:  FULL-TIME, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  3.0, Monica Barboza (wbfellows@sfsu.edu), SSB 201," 1600 Holloway Avenue, San Francisco, California 94132", (415) 405-4431, tyrob11@sfsu.edu, http: //pace.sfsu.edu/gerontology, 2,varies,Anthropology,04/23/2024,Please describe any special personal or family circumstances affecting your need for financial assistance. How will this scholarship help you achieve your educational and career goals? Submit a copy of your resume Please upload your current SFSU or other institutions academic transcript. Unofficial transcripts are acceptable.
 Special Education, To support needy students with superior musical and academic ability.,, Single:  Music," Undergrad:  Junior, Senior; Grad:  N/A", Any, Undergrad:  12 UNITS; Grad:  N/A, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  3.0, School of Music, MH 444B," 1600 Holloway Avenue, San Francisco, CA 94132", (415) 338-2654, wbfellows@sfsu.edu, https: //anthropology.sfsu.edu/scholarships-and-awards, 1,"1,000.00",Art,11/01/2024,"Compose a maximum one-page essay demonstrating both financial need and how your goals are consistent with a focus on 1) issues affecting women; 2) labor reporting and/or other economic social justice issues; or 3) issues in minority communities such as the African American, Asian American, American Indian or Latina/Latino communities."
 Hospitality & Tourism Management, To support students enrolled in special education programs., N/A, Multiple:  All College of Business majors, Undergrad:  Any; Grad:  Any, Continuing, Undergrad:  N/A; Grad:  HALF-TIME, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, Jeff Chun, HUM 282," 1600 Holloway, San Francisco, California 94132", (415)-338-1031, cginwala@sfsu.edu, http: //art.sfsu.edu/content/scholarships, varies,varies,Earth and Climate Sciences,11/10/2024,Please write a goal statement. What are your professional goals? (One page maximum) Please write a statement of financial aid. Why do you need this scholarship? (One page maximum).
 Graduate College of Education," To provide two $1,000 scholarship awards annually to hospitality student applicants.", Must be in good academic standing in the Biology department., Multiple:  Special Education MA or Education Specialist Credential, HS Seniors:  N/A; Undergrad:  Any; Grad:  N/A, Any, Undergrad:  12 UNITS; Grad:  N/A, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  2.5; Grad GPA:  N/A, Ty Robinson, BH 502B," 1600 Holloway, San Francisco, California 94132", (415) 338-1031, jeffchun@sfsu.edu, http: //tornado.sfsu.edu/, varies,varies,Jewish Studies,10/16/2024,"Upload a 7-Page Portfolio - Please upload a 7 page portfolio showing 3 Vis Com projects (2 pages per project, one showing process and one showing final outcome) plus 1 cover page. The cover page will include the student’s name, email, address and phone number. PDF upload only. Naming protocol is LastName_FI.pdf (ex: Hulick_M.pdf). Submit One School of Design Faculty Recommendation - Contact your reference provider to ask if they are available and to inform them of the date to submit; recommendation must be on letterhead and signed. Naming Protocol is ApplicantLastName_ApplicantFI_Rec.pdf (Hulick_M_Rec.pdf) Will you be Senior standing in the incoming Fall semester?"
 Modern Languages and Literatures, To provide an annual scholarship award to graduate students in Elementary Education. Open to those students completing their credential or MA in the Department of Elementary Education.,"
1) Preference given to students in one of the following majors:  Business, Nursing, or Education.
2) Students who meet the AB540 definition are eligible to apply.
3) Must apply for financial aid using the Free Application for Federal Student Aid (FAFSA) or the California Dream Application.
4) Must have financial need as determined by FAFSA or the California Dream Application.", Hospitality & Tourism Management," Undergrad:  N/A, Grad:  Masters/Credential", Any," Undergrad:  N/A; Grad:  4 UNITS (Masters), 6 UNITS (Credential)", Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  3.25; Grad GPA:  N/A, Hospitality and Tourism Management Department, BH 502B," 1600 Holloway, San Francisco, California 94132-4011", (415) 338-1891, tyrob11@sfsu.edu, School of Nursing, varies,"$3,000",Nursing,09/01/2024,"Will you be employed by Associated Students during the Fall 2024? Will you be appointed to an AS BOD position in Fall 2024? Will you be enrolled in 6 units or more during Fall 2024? Is your current cumulative GPA 2.5 or above? Short Answers: The questions below will provide the reviewers of your application with more information about your educational goals, career goals, community involvement, leadership roles, and what you hope to achieve in the future. Limit responses to a maximum of 300 words for each question. Describe how this scholarship will contribute to your financial need and academic success? (Max 300 words) How have you demonstrated leadership and a commitment to serving others through your campus involvement and/or community service? (Max 300 words) Tell us about a time in your life when you overcame an inequity or advocated for social justice. What did you learn from the experience? (Max 300 words) What are your educational goals and where do you see yourself 5 years after you graduate from college? (Max 300 words) Show 1 more"
 Alumni Association, To encourage meritorious students majoring in French or pursuing an M.A. in French who need financial assistance to complete their studies.," No minimum GPA requirement. Must be a former CCSF-EOPS Second Chance student. International students are not eligible to apply. Must demonstrate commitment to helping others or acting as a role model by promoting higher education, and future plans to give back to your community."," Multiple:  Multiple subject credential, MA in the Department of Elementary Education"," HS Seniors:  N/A; Undergrad:  Sophomore, Junior, Senior; Grad:  N/A", Any, Undergrad:  FULL-TIME; Grad:  3 UNITS, No, US Citizen/Perm Res, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  N/A, Ty Robinson, HUM 573," 1600 Holloway Avenue, San Francisco, California 94132", (415) 338-2701, lshroder@sfsu.edu, https: //creativewriting.sfsu.edu/department-resources, 1,varies,Philosophy,10/18/2024,"Please upload your SFSU unofficial transcript in PDF form here. IF YOU ARE AN INCOMING STUDENT, please upload your unofficial transcript from the last institution which you earned your degree. Please write a statement (not to exceed 700 words) describing your educational goals and how you would use the award. Please provide the name and e-mail of an individual who can provide a reference on your behalf. Your reference provider should be familiar with you and able to speak to your personal, professional and/or academic achievements. Faculty, colleagues or mentors are highly recommended. Please be sure to inform the individual that you are listing them as a reference provider and provide them context on the scholarship for which you are applying so they can tailor their reference accordingly, and inform them that the letter must be submitted by the application deadline. Please provide the name and e-mail of an individual who can provide a reference on your behalf. Your reference provider should be familiar with you and able to speak to your personal, professional and/or academic achievements. Faculty, colleagues or mentors are highly recommended. Please be sure to inform the individual that you are listing them as a reference provider and provide them context on the scholarship for which you are applying so they can tailor their reference accordingly, and inform them that the letter must be submitted by the application deadline."
 Dilena Takeyama Center, The purpose of the Weinstein Family Endowed Scholarship is to assist undergraduate students who are in financial need and to inspire others to give generously to scholarships that will benefit students.,"
1) Student athlete
2) Preference given to applicants from Central Valley of California
3) Students who meet the AB540 definition are eligible to apply.
4) Must apply for financial aid using the Free Application for Federal Student Aid (FAFSA) or the California Dream Application.
5) Must have financial need as determined by FAFSA or the California Dream Application.", Single:  French, Undergrad:  N/A; Grad:  Masters/Credential, Continuing, Undergrad:  6 UNITS; Grad:  N/A, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  2.5; Grad GPA:  N/A, Blanca Missé, EP 103b," 1600 Holloway Ave., San Francisco, California 94132", N/A, tyrob11@sfsu.edu, Department of Philosophy, varies,"$2,000.00",College of Business,11/10/2024,SF State Unofficial Transcript Personal Essay (500 words) (pdf) -- Why do you want to become a physical education teacher? What influenced your decision to pursue the SFSU Teacher Credential Program in Physical Education? How will this scholarship award help you achieve your goal of becoming a physical education teacher?
" Department of Recreation, Parks & Tourism", The Dilena Takeyama Center Scholarships are intended to support San Francisco State University students who plan to utilize their studies and future careers in ways that promote improved relationships between the United States and Japan.,"
1) Current Guardian Scholars Program student.
2) Self-reported financial need.
3) Students to provide annual updates.", Any, Undergrad:  Any; Grad:  Masters, Any, Undergrad:  FULL-TIME; Grad:  FULL-TIME, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A," S. Evrim Özer, B.S., ’00 & M.S., ’04, CFRE, CMP, Associate Director, Alumni Relations, Annual Giving, Engagement Systems & Data Analytics", N/A," 1600 Holloway, San Francisco, California 94132", (415) 338-3558, bmisse@sfsu.edu, http: alumni.sfsu.edu, varies,"$2,500.00",Alumni Association,03/30/2018,"Submit a statement of purpose (up to 1000 words) explaining your motivation for studying philosophy and your plans for further study. The statement should also include an explanation of why the scholarship would be useful and additional information that you think would be useful in evaluating your application. Upload unofficial transcripts from your prior degree program(s), including SFSU. List the names and email address of one (of two) references who can provide you with a letter of recommendation. Reference One Here. List the names and email address of one (of two) references who can provide you with a letter of recommendation. Reference Two Here."
 Creative Writing, To recognize a student demonstrating meaningful participation and/or leadership in programs/services focused on educating and advocating for equitable access to parks and other natural spaces.,"
1.Students must have a commitment to advocating for youth empowerment, envisioning an equitable
society, organizing for system changes that improve the lives of many, and challenging the
limitations that have kept equity from being reality.
2.Students who demonstrate that they are class conscious and anti-racist, have a world outlook, and
commit to fighting exploitation, gender politics and oppression, and not engaging in work or causes
that displace or marginalize people.", Any," HS Seniors; Undergrad:  Any, 2nd BA; Grad:  N/A", Continuing, Undergrad:  *3 Units;, Yes, Any, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  N/A," S. Evrim Özer, B.S., ’00 & M.S., ’04, CFRE, CMP, Associate Director of Alumni Relations & Annual Giving", HSS 242," 1600 Holloway, San Francisco, California 94132", (415) 338-2046, alumni@sfsu.edu, http: //journalism.sfsu.edu/pages/alumni-and-donor-funded-scholarships, varies,"$1,000.00",College of Business,11/10/2024,"Please upload your SFSU unofficial transcript. Please upload your resume. Will you be enrolled in the Fall 2024 semester? In under 700 words total, please briefly discuss: 1. What are your main areas of focus in the BECA major (theory/research; news; radio/podcasting; sports broadcasting; scriptwriting; audio production/design; video production/design; documentary; interactive/online media; other)? 2. What would you like to get out of the BECA program (career preparation, graduate-school preparation, creative skills, etc.) and how do you plan to put your knowledge into practice after you graduate? 3. What has been your strongest contribution to the BECA community? This could be related to your coursework, participation in classes, contributions to group projects, projects achieved on your own, participation in department organizations and events, etc. 4. Your financial need and how this scholarship will support your goals."
 Biology, Prize for achievement in writing by a Creative Writing Student.," Participation in the Turkish Community in the Bay Area, U.S., or worldwide; Academic interest in Turkey; Must be fluent in oral and written Turkish; HT enrollment is 6 units for grad students;", Any," Undergrad:  Freshmen, Sophomore, Junior, Grad:  Masters", Any, Undergrad:  1 unit; Grad:  1 unit, Not a Requirement, Any, HS GPA:  N/A; Undergrad:  2.5; Grad GPA:  2.5," Department of Recreation, Parks & Tourism", FA 525," 1600 Holloway, San Francisco, California 94132", (415) 338-2176, alumni@sfsu.edu, http: //nursing.sfsu.edu, Varies,Amount up to $1500,Journalism,04/10/2021,"A copy of students current SFSU Class Schedule Documentation showing enrollment in Project Rebound Please submit a one page maximum typed statement describing why you would like to receive this scholarship, how it will help you, and your career goals."
 Business, To support the education needs of graduate students in physiology through scholarships.,," English: Creative Writing, Creative Writing MFA"," Undergrad:  Freshman, Sophomore, Junior, Senior;", Any, Undergrad:  N/A; Grad:  4 UNITS, Yes, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, Creative Writing Department, FA 293," 1600 Holloway, San Francisco, California 94132-4011", (415) 338-2061, dbosnia@sfsu.edu, https: //design.sfsu.edu/scholarships-0.htm, varies,$500,Nursing,05/01/2024,Will you be entering your second year of graduate study? Students upload a work in progress and a brief description (no more than 200 words) of how this award would make a difference in their ability to focus on their studies and their writing. Along with the following: Playwriting Submissions: 20-40-pages. Fiction and Creative Non-fiction Submissions: 20 pages. Poetry Submissions: 10 pages. Translation submissions: 10 to 20 pages. Upload a brief description (no more than 200 words) of how this award would make a difference in your ability to focus on your studies and your writing. Upload a work in progress: Playwriting Submissions: 20-40-pages. Fiction and Creative Non-fiction Submissions: 20 pages. Poetry Submissions: 10 pages. Translation submissions: 10 to 20 pages.
 Transfer Articulation Bridge Program," The establishment of this scholarship is to honor Agid family members who have attended SF State. The family wishes to provide scholarships to students who demonstrate financial need with a preference given to students in one of the following areas:  Business, Nursing, and/or Education.", Credential students are eligible to apply. Students who will be student teaching during the Spring semester., Single:  Physiology," HS Seniors:  N/A; Undergrad:  Any; Grad:  2nd BA, MA, MFA", Continuing and entering students can apply, Undergrad:  12 UNITS; Grad:  8 UNITS, Not a requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, Biology Department, TH 509," 1600 Holloway, San Francisco, California 94132", (415) 338-6075, cwriting@sfsu.edu, http: //dos.sfsu.edu/content/student-life, varies,"$1,500",School of Design,05/06/2019,"Please upload your SFSU unofficial transcript in PDF form here. IF YOU ARE AN INCOMING STUDENT, please upload your unofficial transcript from the last institution which you earned your degree. Please write a statement (not to exceed 700 words) detailing how this award will be used in meeting the criteria of the scholarship in defraying expenses directly related to pre-professional activities both on and off campus. These activities include, but are not limited to: internships; residencies; public exhibitions and performances, coaching sessions, master-classes, conferences, and competitions ranging from regional to international in scope.Your statement should include a brief budget of expenses (ie. conference fee on $200, airfare to attend conference location $400, etc.) Please provide the name and email address for the department nomination. Please note that this nomination is also sent by the department to the college office as a hard copy but both hard copy and upload are required."
 Kinesiology, The Transfer Articulation Bridge-Lend Lease Second Chance Scholarship was created to support SFSU TAB students who were former CCSF- EOPS Second Chance students., Must be enrolled half-time in the semester in which the poetry is submitted for this prize., Any, Undergrad:  N/A; Grad:  Masters, Continuing, Undergrad:  FULL-TIME; Grad:  FULL-TIME, No, Any, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  N/A, Jeff Chun, Burk Hall 371," 1600 Holloway Ave., San Francisco, California 94132", (415) 405-3660, gmt@sfsu.edu, http: //history.sfsu.edu/content/scholarships, Varies,"Up to $4,000",Associated Students,12/01/2023,Please write a statement of financial aid. Why do you need this scholarship? (One page maximum).
 Guardian Scholars Program/EOP, The Allen Abraham Scholarship Fund is for a full-time undergraduate Kinesiology major and student-athlete. Priority is given to those from the Central Valley of California., Must be an enrolled member of a federally recognized tribe., Any, Undergrad:  Any; Grad/Post BAC:  Masters/PhD/EdD/2nd BA/Credential, Any, Undergrad:  6 UNITS; Grad:  N/A, Not a Requirement, US Citizen/Perm Res, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  3.0, Graduate College of Education, HUM 573," 1600 Holoway Ave., San Francisco, California 94132", (415) 338-1891, jeffchun@sfsu.edu, https: //lca.sfsu.edu/scholarships, 1,"$1,000.00",Graduate College of Education,10/28/2024,"Submit three statements (maximum of 500 words each) responding to the following prompts (repeated from critera listed above): 1) Describe the knowledge gap you aim to fill through your graduate research project and why it is important; 2) I am pursuing my graduate degree because I am passionate about…; and 3) I am involved with public engagement or community service related to environmental science or justice because… Submit two letters of recommendation. Please provide the name and e-mail addresses of two individuals who are willing to submit letters of recommendation on your behalf. Your letter writer should be familiar with you and able to speak to your personal and professional, community service or academic achievements. At least one should be a faculty member who can speak to your academic achievements. Please be sure to inform your letter writers that you are listing them as references and provide them with information on the scholarship and why you are applying so they can tailor their letter accordingly. Be sure to inform them that the letter must be emailed to nathannora@sfsu.edu by the application deadline."
 Liberal & Creative Arts," The Sylvan and Donna Kline Guardian Scholars Scholarship Endowment was established to strengthen and permanently support SF State’s Guardian Scholars Program, with its unique mission and purpose of supporting the needs of college-bound students who are transitioning out of the foster care system.","
1) Undergraduate sophomores, juniors, and seniors with a GPA of 3.0 or higher pursuing a concentration within accounting.
2) The scholarship shall be open to all regardless of immigration status.", Single:  Kinesiology," Undergrad:  Upper Division(Junior/Senior), Grad:  Masters/Credential", Continuing, Undergrad:  6 UNITS; Grad:  N/A, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, Kinesiology Department, Humanities 388," 1600 Holloway, San Francisco, California 94132", (415) 338-2470, retta@sfsu.edu, kin.sfsu.edu/scholarships, 10,$100.00,History,05/31/2024,"Please submit a typed personal statement, not to exceed three (3) double-spaced pages, detailing your life experience and educational and personal goals. Please submit at least three (3) signed letters of recommendation printed on letterhead. Combine all letters of recommendation into one file. Are you a first generation college student? Are you actively involved in your church and/or community? Do you currently receive or have you received Temporary Assistance for Needy Families (TANF) or other public assistance? Show 1 more"
